venue,team,matches,wins,losses,win_rate,lose_rate
Allan Border Field,Brisbane Heat,10,6,4,0.6,0.4
Allan Border Field,Melbourne Stars,2,1,1,0.5,0.5
Sydney Showground Stadium,Sydney Sixers,14,7,6,0.5,0.43
"Warner Park, Basseterre",Jamaica Tallawahs,13,5,8,0.38,0.62
"Warner Park, Basseterre",Trinbago Knight Riders,5,3,1,0.6,0.2
"Warner Park, Basseterre",Guyana Amazon Warriors,12,9,3,0.75,0.25
"Queen's Park Oval, Port of Spain",Trinbago Knight Riders,21,13,8,0.62,0.38
"Queen's Park Oval, Port of Spain",Guyana Amazon Warriors,13,5,8,0.38,0.62
"Mission Road Ground, Mong Kok",Hong Kong,9,4,4,0.44,0.44
"Mission Road Ground, Mong Kok",Papua New Guinea,3,1,2,0.33,0.67
Shere Bangla National Stadium,Bangladesh,105,41,60,0.39,0.57
Shere Bangla National Stadium,England,8,5,3,0.62,0.38
Zahur Ahmed Chowdhury Stadium,Bangladesh,31,14,11,0.45,0.35
Zahur Ahmed Chowdhury Stadium,England,7,3,4,0.43,0.57
JSCA International Stadium Complex,India,9,5,2,0.56,0.22
JSCA International Stadium Complex,New Zealand,1,1,0,1.0,0.0
Headingley,England,27,17,9,0.63,0.33
Headingley,South Africa,4,1,2,0.25,0.5
The Rose Bowl,England,37,22,12,0.59,0.32
The Rose Bowl,South Africa,5,1,3,0.2,0.6
Sophia Gardens,England,24,17,3,0.71,0.12
Sophia Gardens,South Africa,5,0,2,0.0,0.4
Old Trafford,England,37,24,9,0.65,0.24
Old Trafford,South Africa,3,1,1,0.33,0.33
Edgbaston,England,35,24,6,0.69,0.17
Edgbaston,West Indies,5,1,3,0.2,0.6
Headingley,West Indies,3,1,2,0.33,0.67
Old Trafford,West Indies,7,0,7,0.0,1.0
County Ground,England,52,38,13,0.73,0.25
County Ground,West Indies,16,1,15,0.06,0.94
Malahide,Ireland,4,0,3,0.0,0.75
Malahide,New Zealand,2,2,0,1.0,0.0
